stno,dates,PP01
467490,20111101,0
467490,20111102,0
467490,20111103,0
467490,20111104,0
467490,20111105,0
467490,20111106,0
467490,20111107,5.7
467490,20111108,16
467490,20111109,51.8
467490,20111110,63.9
467490,20111111,5.1
467490,20111112,0
467490,20111113,0
467490,20111114,0
467490,20111115,0
467490,20111116,0.4
467490,20111117,0.4
467490,20111118,0.1
467490,20111119,7.2
467490,20111120,0
467490,20111121,0
467490,20111122,0
467490,20111123,0
467490,20111124,0
467490,20111125,0
467490,20111126,0.1
467490,20111127,0
467490,20111128,0
467490,20111129,0
467490,20111130,0
467490,20111101,0
467490,20111102,0
467490,20111103,0
467490,20111104,0
467490,20111105,0
467490,20111106,0
467490,20111107,5.7
467490,20111108,16
467490,20111109,51.8
467490,20111110,63.9
467490,20111111,5.1
467490,20111112,0
467490,20111113,0
467490,20111114,0
467490,20111115,0
467490,20111116,0.4
467490,20111117,0.4
467490,20111118,0.1
467490,20111119,7.2
467490,20111120,0
467490,20111121,0
467490,20111122,0
467490,20111123,0
467490,20111124,0
467490,20111125,0
467490,20111126,0.1
467490,20111127,0
467490,20111128,0
467490,20111129,0
467490,20111130,0
467490,20111201,0
467490,20111202,0
467490,20111203,0
467490,20111204,0
467490,20111205,30.9
467490,20111206,0.5
467490,20111207,0
467490,20111208,0
467490,20111209,0.8
467490,20111210,0
467490,20111211,2.2
467490,20111212,0
467490,20111213,0.2
467490,20111214,1
467490,20111215,0
467490,20111216,0
467490,20111217,0
467490,20111218,0
467490,20111219,0
467490,20111220,0
467490,20111221,0
467490,20111222,0
467490,20111223,0
467490,20111224,0
467490,20111225,0
467490,20111226,0
467490,20111227,0
467490,20111228,0
467490,20111229,0
467490,20111230,0
467490,20111231,1.5
467490,20120101,0
467490,20120102,0
467490,20120103,0
467490,20120104,0
467490,20120105,3.5
467490,20120106,12.5
467490,20120107,0
467490,20120108,0
467490,20120109,0
467490,20120110,0
467490,20120111,0
467490,20120112,0
467490,20120113,0.6
467490,20120114,1.5
467490,20120115,2.7
467490,20120116,14
467490,20120117,0
467490,20120118,0
467490,20120119,0
467490,20120120,0
467490,20120121,0
467490,20120122,7.1
467490,20120123,4.2
467490,20120124,7.8
467490,20120125,3.2
467490,20120126,0
467490,20120127,0
467490,20120128,0
467490,20120129,0
467490,20120130,0
467490,20120131,0
467490,20120201,0
467490,20120202,0
467490,20120203,0
467490,20120204,0
467490,20120205,0
467490,20120206,0
467490,20120207,11.5
467490,20120208,11.2
467490,20120209,0
467490,20120210,0
467490,20120211,0
467490,20120212,0
467490,20120213,0
467490,20120214,0
467490,20120215,0.2
467490,20120216,0
467490,20120217,0
467490,20120218,0
467490,20120219,0
467490,20120220,0
467490,20120221,0
467490,20120222,0.1
467490,20120223,6.2
467490,20120224,3.8
467490,20120225,14.1
467490,20120226,1.7
467490,20120227,10.8
467490,20120228,17.6
467490,20120229,0
467490,20120301,0
467490,20120302,0
467490,20120303,0
467490,20120304,0
467490,20120305,0
467490,20120306,0
467490,20120307,0
467490,20120308,0
467490,20120309,4.1
467490,20120310,8.2
467490,20120311,11
467490,20120312,11.9
467490,20120313,5.6
467490,20120314,0
467490,20120315,0
467490,20120316,0
467490,20120317,0
467490,20120318,0
467490,20120319,0
467490,20120320,0
467490,20120321,0
467490,20120322,0
467490,20120323,0
467490,20120324,0
467490,20120325,0
467490,20120326,0
467490,20120327,0
467490,20120328,0
467490,20120329,0
467490,20120330,0
467490,20120331,0
